citizen_id,scheme_id,scheme_name,age,gender,state,caste_category,occupation,annual_income,is_rural,is_bpl,is_govt_employee,is_income_tax_payer,is_urban_resident,has_aadhaar,has_pan_card,has_bank_account,has_aadhaar_linked_bank,has_land_records,has_land_proof,has_bpl_card,has_secc_registration,has_mobile,has_photo,has_business_proof,has_bank_statements,eligible,readiness_score,missing_docs_count,missing_conditions_count,missing_docs,missing_conditions
CIT00001,MUDRA-005,PM-MUDRA,41,male,Rajasthan,SC,self_employed,368389,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,90.0,1,0,pan_card,none
CIT00002,MUDRA-005,PM-MUDRA,45,male,Karnataka,SC,daily_wage_worker,184472,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,70.0,2,1,business_proof|bank_statements,occupation_mismatch
CIT00003,PMAY-003,PMAY-G,25,female,Bihar,OBC,government_employee,1065179,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00004,PMJDY-002,PMJDY,58,female,Odisha,OBC,self_employed,185907,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,83.3,1,0,mobile,none
CIT00005,PMSBY-004,PMSBY,38,other,West Bengal,SC,small_business,363060,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,100.0,0,0,none,none
CIT00006,PMAY-003,PMAY-G,68,male,Maharashtra,General,daily_wage_worker,198519,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,30.0,4,3,bpl_card|bank_account|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00007,PMAY-003,PMAY-G,75,female,Bihar,SC,entrepreneur,225051,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00008,MUDRA-005,PM-MUDRA,24,other,Telangana,OBC,student,752,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,70.0,2,1,pan_card|business_proof,occupation_mismatch
CIT00009,PMAY-003,PMAY-G,48,other,Jharkhand,OBC,small_business,191579,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,60.0,2,2,bpl_card|secc_registration,income_too_high|bpl_required
CIT00010,PMJDY-002,PMJDY,20,other,Odisha,SC,entrepreneur,674916,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,56.7,2,1,aadhaar|mobile,income_too_high
CIT00011,PM-KISAN-001,PM-KISAN,49,female,Punjab,OBC,student,45211,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,77.5,1,1,land_records,occupation_mismatch
CIT00012,PMSBY-004,PMSBY,19,other,Madhya Pradesh,General,farmer,38234,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,83.3,1,0,aadhaar_linked_bank,none
CIT00013,PMJDY-002,PMJDY,64,female,Odisha,SC,entrepreneur,770993,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,90.0,0,1,none,income_too_high
CIT00014,PMJDY-002,PMJDY,41,male,Odisha,SC,daily_wage_worker,151275,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,100.0,0,0,none,none
CIT00015,PMSBY-004,PMSBY,61,male,Rajasthan,OBC,small_business,584740,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,66.7,2,0,aadhaar_linked_bank|aadhaar,none
CIT00016,MUDRA-005,PM-MUDRA,17,other,Haryana,OBC,small_business,308275,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,80.0,1,1,photo,age_not_in_range_18_65
CIT00017,PMAY-003,PMAY-G,61,male,Telangana,OBC,self_employed,326629,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,40.0,3,3,bpl_card|land_proof|secc_registration,income_too_high|excluded_urban_resident|bpl_required
CIT00018,PMJDY-002,PMJDY,48,female,West Bengal,ST,entrepreneur,217235,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,83.3,1,0,aadhaar,none
CIT00019,MUDRA-005,PM-MUDRA,57,female,Rajasthan,OBC,private_employee,278075,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,70.0,2,1,business_proof|bank_statements,occupation_mismatch
CIT00020,MUDRA-005,PM-MUDRA,27,female,Bihar,SC,government_employee,408618,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,60.0,2,2,business_proof|bank_statements,occupation_mismatch|excluded_govt_employee
